Crop,Disease_or_Pest,Type,Opt_Temp_Min_C,Opt_Temp_Max_C,Opt_Humidity_Pct,Excess_Nitrogen_Vulnerability,Soil_Moisture_Vulnerability,Recommended_Control
Rice,Rice Blast (Magnaporthe oryzae),Fungal,22,28,85,True,True,Tricyclazole 75% WP @ 0.6 g/L or Kasugamycin 3% SL @ 2 ml/L
Rice,Sheath Blight (Rhizoctonia solani),Fungal,28,33,85,True,True,Validamycin 3% L @ 2.5 ml/L or Hexaconazole 5% EC @ 2 ml/L
Rice,Brown Planthopper (Nilaparvata lugens),Pest,25,31,75,True,False,Pymetrozine 50% WDG @ 0.6 g/L or Triflumezopyrim 10% SC @ 0.5 ml/L
Rice,Bacterial Leaf Blight (Xanthomonas oryzae),Bacterial,25,34,78,True,True,Copper Oxychloride 50% WP @ 2.5 g/L + Streptocycline @ 0.1 g/L
Wheat,Yellow / Stripe Rust (Puccinia striiformis),Fungal,10,18,75,False,True,Propiconazole 25% EC (Tilt) @ 1 ml/L at first notice
Wheat,Brown / Leaf Rust (Puccinia triticina),Fungal,16,25,70,False,True,Propiconazole 25% EC @ 1 ml/L or Tebuconazole 25.9% EC @ 1 ml/L
Wheat,Powdery Mildew (Blumeria graminis),Fungal,15,22,65,True,False,Wettable Sulphur 80% WP @ 3 g/L or Propiconazole @ 1 ml/L
Wheat,Wheat Aphids (Sitobion avenae),Pest,18,26,50,False,False,Thiamethoxam 25% WG @ 0.2 g/L or Imidacloprid 17.8% SL @ 0.3 ml/L
Cotton,Pink Bollworm (Pectinophora gossypiella),Pest,24,33,60,False,False,Pheromone traps (8/ha) + Profenofos 50% EC @ 2 ml/L or Emamectin Benzoate 5% SG @ 0.5 g/L
Cotton,Whitefly & Leaf Curl Vector (Bemisia tabaci),Pest,26,36,55,True,False,Diafenthiuron 50% WP @ 1.2 g/L or Pyriproxyfen 10% EC @ 2 ml/L
Cotton,Bacterial Blight (Xanthomonas citri pv. malvacearum),Bacterial,28,34,80,True,True,Copper Oxychloride 50% WP @ 2.5 g/L + Streptocycline 100 ppm
Cotton,Fusarium Wilt (Fusarium oxysporum),Fungal,22,29,70,False,True,Trichoderma viride soil application @ 2.5 kg/ha in FYM
Maize,Fall Armyworm (Spodoptera frugiperda),Pest,24,32,60,False,False,Spinetoram 11.7% SC @ 0.5 ml/L or Chlorantraniliprole 18.5% SC @ 0.4 ml/L
Maize,Maydis Leaf Blight (Bipolaris maydis),Fungal,20,30,80,True,True,Mancozeb 75% WP @ 2.5 g/L or Azoxystrobin @ 1 ml/L
Maize,Stem Borer (Chilo partellus),Pest,25,33,65,False,False,Carbofuran 3G granules @ 7.5 kg/ha or Chlorantraniliprole @ 0.4 ml/L
Sugarcane,Red Rot (Colletotrichum falcatum),Fungal,27,34,85,True,True,Use healthy seed setts treated with Carbendazim 50% WP @ 2 g/L; ensure drainage
