id,name,level,state,category,benefit,eligibility,official_portal
pm_kisan,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Central,All India,Income Support,"Rs. 6,000 / year direct benefit transfer (DBT)",All landholding farmer families with cultivable land in their names (subject to exclusion criteria).,
pmfby,Pradhan Mantri Fasal Bima Yojana (PMFBY),Central,All India,Crop Insurance,"Subsidized premium: 2% for Kharif, 1.5% for Rabi, 5% for annual horticultural crops.",All farmers growing notified crops in notified areas including loanee and non-loanee farmers.,
kcc,Kisan Credit Card (KCC) Scheme,Central,All India,Credit & Loans,Credit up to Rs. 3 Lakh at effective 4% p.a. interest rate with prompt repayment incentive.,"All farmers, individual/joint borrowers, tenant farmers, oral lessees, and sharecroppers.",
smam,Sub-Mission on Agricultural Mechanization (SMAM),Central,All India,Farm Machinery,"40% to 50% subsidy on tractors, harvesters, laser levelers, rotavators, and sprayers.","Individual farmers, FPOs, Cooperatives, and Rural Entrepreneurs.",
pm_kusum,PM-KUSUM (Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan),Central,All India,Solar & Energy,Up to 60% capital subsidy (30% Central + 30% State Govt) with 30% bank loan.,"Individual farmers, Water User Associations, and FPOs in off-grid or grid-connected areas.",
pkvy,Paramparagat Krishi Vikas Yojana (PKVY),Central,All India,Organic Farming,"Rs. 50,000 per hectare over 3 years (Rs. 31,000 for organic inputs via DBT).",Farmers forming a cluster of 50 or more farmers with 50 acres of contiguous land.,
pmksy_pdmc,PMKSY - Per Drop More Crop (Micro Irrigation),Central,All India,Irrigation,"55% subsidy for Small & Marginal farmers, 45% for other farmers on micro-irrigation systems.",All landholding farmers with assured irrigation source.,
aif,Agriculture Infrastructure Fund (AIF),Central,All India,Post-Harvest Infrastructure,3% interest subvention per annum up to Rs. 2 Crore for maximum period of 7 years.,"Primary Agricultural Credit Societies (PACS), Marketing Cooperatives, FPOs, Agri-entrepreneurs, Startups.",
shc_scheme,Soil Health Card Scheme,Central,All India,Soil Testing,"Free comprehensive soil nutrient analysis (N, P, K, S, Zn, Fe, Cu, Mn, Bo, pH, EC, OC).",All farm landholdings in India.,
up_paradarshi,UP Paradarshi Kisan Seva Yojana,State,Uttar Pradesh,Seed & Implement Subsidy,40% to 50% direct subsidy credited to bank account for certified seeds and equipment.,Registered farmers on UP Agriculture portal with Aadhaar-linked bank accounts.,
mp_kalyan,Mukhyamantri Kisan Kalyan Yojana (MP),State,Madhya Pradesh,Income Support,"Rs. 6,000 per year in three installments (making total annual income support Rs. 12,000).",All farmers in Madhya Pradesh eligible for and receiving PM-KISAN benefits.,
mp_bhavantar,Bhavantar Bhugtan Yojana (MP),State,Madhya Pradesh,Price Support,Direct cash compensation for price difference up to MSP.,Registered farmers selling notified crops in MP APMC mandis during notified procurement season.,
haryana_bhavantar,Bhavantar Bharpai Yojana (BBY Haryana),State,Haryana,Price Support,Deficit payout if market wholesale price falls below benchmark cost.,Horticultural farmers registered on the Meri Fasal Mera Byora portal.,
haryana_pani,Mera Pani Meri Virasat (Haryana),State,Haryana,Crop Diversification,"Rs. 7,000 per acre financial incentive directly transferred.",Farmers in groundwater over-exploited blocks who replace paddy cultivation.,
maha_namo,Namo Shetkari Mahasanman Nidhi (Maharashtra),State,Maharashtra,Income Support,"Rs. 6,000 / year (combined Rs. 12,000 with PM-KISAN).",All landholding farmers eligible for PM-KISAN in Maharashtra.,
raj_kisan_urja,Mukhyamantri Kisan Mitra Urja Yojana (Rajasthan),State,Rajasthan,Electricity Subsidy,"Up to Rs. 1,000 per month (max Rs. 12,000 per year) subsidy credited directly against farm power bill.",Metered agricultural electricity consumers in Rajasthan with non-defaulter status.,
ap_rythu_bharosa,YSR Rythu Bharosa - PM KISAN (Andhra Pradesh),State,Andhra Pradesh,Income Support,"Rs. 13,500 per year per farmer family in 3 installments.","Landowner farmer families, tenant farmers (CCRC holders), and RoFR tribal cultivators in AP.",
ts_rythu_bandhu,Rythu Bandhu & Rythu Bima (Telangana),State,Telangana,Investment Support,"Rs. 5,000 to Rs. 7,500 per acre per season (Rs. 10,000-15,000/year) + Rs. 5 Lakh Rythu Bima life cover.",Pattadar passbook holders and recorded landholding farmers in Telangana.,
wb_krishak_bandhu,Krishak Bandhu (West Bengal),State,West Bengal,Direct Support & Insurance,"Rs. 10,000 per year (for 1+ acre) in two installments + Rs. 2 Lakh life insurance grant.",All farmers and recorded bargadars (sharecroppers) aged 18-60 years in West Bengal.,
karnataka_raitha_siri,Raitha Siri & Krishi Bhagya (Karnataka),State,Karnataka,Millet & Farm Ponds,"Rs. 10,000 per hectare incentive for millet cultivation; up to 80-90% subsidy on farm ponds.","Farmers cultivating minor millets (ragi, foxtail, little millet) or farming in rainfed taluks.",
