id,chemical_name,category,cibrc_status,toxicity_class,target_crops,target_pests,dose_per_ha,dose_per_acre,phi_days
cibrc_001,Chlorantraniliprole 18.5% SC,Insecticide,Approved under Section 9(3),Class IV (Green Label - Caution),Rice; Wheat; Maize; Cotton; Sugarcane; Tomato; Brinjal; Chilli,Yellow Stem Borer; Leaf Folder; Fall Armyworm; American Bollworm; Fruit Borer; Top Borer,150 ml,60 ml,14
cibrc_002,Imidacloprid 17.8% SL,Insecticide,Approved under Section 9(3),Class II (Yellow Label - Highly Toxic),Rice; Cotton; Chilli; Sugarcane; Tomato; Potato; Groundnut,Brown Planthopper; White Backed Planthopper; Aphids; Jassids; Thrips; Termites,100 - 125 ml,40 - 50 ml,21
cibrc_003,Emamectin Benzoate 5% SG,Insecticide,Approved under Section 9(3),Class III (Blue Label - Danger),Cotton; Maize; Tomato; Cabbage; Chilli; Chickpea; Pigeon Pea,Spodoptera frugiperda (Fall Armyworm); Helicoverpa armigera (Pod Borer); Diamondback Moth; Fruit Borer,200 - 220 g,80 - 100 g,5
cibrc_004,Cartap Hydrochloride 50% SP,Insecticide,Approved under Section 9(3),Class II (Yellow Label - Highly Toxic),Rice,Stem Borer (Scirpophaga incertulas); Leaf Folder (Cnaphalocrocis medinalis),1000 g,400 g,21
cibrc_005,Thiamethoxam 25% WG,Insecticide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice; Wheat; Cotton; Mustard; Tomato; Potato,Green Leafhopper; Brown Planthopper; Aphids; Whiteflies; Mosquito Bug,100 g,40 g,14
cibrc_006,Fipronil 5% SC,Insecticide,Approved under Section 9(3),Class II (Yellow Label - Highly Toxic),Rice; Sugarcane; Chilli; Cotton,Stem Borer; Brown Planthopper; Root Borer; Thrips,1000 - 1500 ml,400 - 600 ml,32
cibrc_007,Spinosad 45% SC,Insecticide,Approved under Section 9(3),Class III (Blue Label - Danger),Cotton; Chilli; Tomato; Brinjal; Cabbage,Spotted Bollworm; Thrips; Fruit Borer; Diamondback Moth,160 - 200 ml,65 - 80 ml,3
cibrc_008,Flubendiamide 39.35% SC,Insecticide,Approved under Section 9(3),Class IV (Green Label - Caution),Rice; Cotton; Tomato; Cabbage; Pigeon Pea,Stem Borer; Leaf Folder; American Bollworm; Pod Borer,100 - 125 ml,40 - 50 ml,7
cibrc_009,Azoxystrobin 18.2% + Difenoconazole 11.4% SC,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice; Wheat; Maize; Tomato; Chilli; Onion,Sheath Blight; Blast; Yellow Rust; Early Blight; Powdery Mildew; Purple Blotch,500 ml,200 ml,10
cibrc_010,Tricyclazole 75% WP,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice,"Rice Blast (Leaf, Neck, and Node Blast)",300 - 400 g,120 - 160 g,30
cibrc_011,Mancozeb 75% WP,Fungicide,Approved under Section 9(3),Class IV (Green Label - Caution),Potato; Tomato; Wheat; Mustard; Groundnut; Chilli; Grapes,Late Blight; Early Blight; Brown Rust; Alternaria Blight; Tikka Disease,1500 - 2000 g,600 - 800 g,7
cibrc_012,Carbendazim 50% WP,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Wheat; Rice; Cotton; Groundnut; Gram; Pigeon Pea,Loose Smut; Sheath Blight; Anthracnose; Tikka Leaf Spot; Wilt,500 g (or 2g/kg seed for treatment),200 g,14
cibrc_013,Hexaconazole 5% SC,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice; Groundnut; Mango; Grapes,Sheath Blight (Rhizoctonia solani); Tikka Disease; Powdery Mildew,1000 ml,400 ml,30
cibrc_014,Copper Oxychloride 50% WP,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice; Potato; Tomato; Cardamom; Pepper; Rubber; Citrus,Bacterial Leaf Blight; Late Blight; Downy Mildew; Foot Rot (Quick Wilt); Canker,2500 g,1000 g,7
cibrc_015,Tebuconazole 25.9% EC,Fungicide,Approved under Section 9(3),Class III (Blue Label - Danger),Wheat; Rice; Groundnut; Chilli; Onion,Yellow Rust (Stripe Rust); Sheath Blight; Tikka; Powdery Mildew; Purple Blotch,500 - 750 ml,200 - 300 ml,21
cibrc_016,Validamycin 3% L,Fungicide,Approved under Section 9(3),Class IV (Green Label - Caution),Rice,Sheath Blight (Rhizoctonia solani),1000 ml,400 ml,9
cibrc_017,Bispyribac-sodium 10% SC,Herbicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice,Echinochloa crus-galli (Barnyard grass); Cyperus difformis; Broad-spectrum post-emergence weeds,200 - 250 ml,80 - 100 ml,78
cibrc_018,Pretilachlor 50% EC,Herbicide,Approved under Section 9(3),Class III (Blue Label - Danger),Rice,Annual grasses; Sedges; Broadleaf weeds in transplanted paddy,1000 - 1500 ml,400 - 600 ml,90
cibrc_019,Pendimethalin 30% EC,Herbicide,Approved under Section 9(3),Class III (Blue Label - Danger),Wheat; Cotton; Soybean; Groundnut; Mustard; Onion; Gram,Phalaris minor (Canary grass); Chenopodium album; Echinochloa colona,2500 - 3300 ml,1000 - 1300 ml,60
cibrc_020,"Azadirachtin 10,000 ppm (1% EC) - Bio-Pesticide",Bio-Pesticide,Approved under Section 9(3B) for Organic Farming,Class IV (Green Label - Caution),Rice; Cotton; Vegetables; Spices; Pulses; Fruits,Aphids; Jassids; Whiteflies; Thrips; Leaf Miners; Mites; Bollworms,1000 - 1500 ml,400 - 600 ml,0
cibrc_021,Trichoderma viride 1% WP (2x10^6 cfu/g) - Bio-Fungicide,Bio-Pesticide,Approved under Section 9(3B) for Biological Control,Class IV (Green Label - Caution),Rice; Wheat; Pulses; Cotton; Potato; Tomato; Cardamom; Ginger,Root Rot; Collar Rot; Fusarium Wilt; Damping-off; Rhizoctonia solani,2500 g (mixed with 100 kg FYM/compost),1000 g,0
cibrc_022,Pseudomonas fluorescens 1% WP (1x10^8 cfu/g) - Bio-Bactericide,Bio-Pesticide,Approved under Section 9(3B),Class IV (Green Label - Caution),Rice; Banana; Tomato; Chilli; Potato; Cardamom,Bacterial Leaf Blight; Bacterial Wilt; Sheath Rot; Panicle Blight,2500 g,1000 g,0
cibrc_023,Bacillus thuringiensis var. kurstaki (Bt) 5% WP,Bio-Pesticide,Approved under Section 9(3),Class IV (Green Label - Caution),Cotton; Cabbage; Cauliflower; Tomato; Chickpea,Helicoverpa armigera; Spodoptera litura; Diamondback Moth,1000 - 1500 g,400 - 600 g,0
cibrc_024,Beauveria bassiana 1.15% WP (1x10^8 cfu/g) - Bio-Insecticide,Bio-Pesticide,Approved under Section 9(3B),Class IV (Green Label - Caution),Cotton; Rice; Sugarcane; Cardamom; Coffee; Tea,Whitefly; Root Grub; Stem Borer; Berry Borer; Tea Mosquito Bug,2500 g,1000 g,0
cibrc_025,Glyphosate 41% SL,Herbicide,Restricted use under S.O. 5013(E) dated 21-10-2022 (Permitted in Tea plantations and non-cropped land only through Pest Control Operators),Class III (Blue Label - Danger),Tea; Non-cropped Bunds / Open Irrigation Canals,Deep-rooted perennial grasses; Cyperus rotundus; Imperata cylindrica,2000 - 3000 ml,800 - 1200 ml,60
